dispnum,ord_incidnum,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version,incidnum
3552,3552005,IRQ,645,28,12,1992,28,12,1992,0,0,1,-9,0,1,0,1,5,3552002
3552,3552005,USA,2,28,12,1992,28,12,1992,1,1,2,0,16,4,2,0,5,3552002
3552,3552006,IRQ,645,4,1,1993,4,1,1993,1,0,0,0,7,3,2,0,5,3552006
3552,3552006,USA,2,4,1,1993,4,1,1993,0,1,0,0,0,1,0,0,5,3552006
3552,3552007,FRN,220,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,5,3552007
3552,3552007,IRQ,645,6,1,1993,6,1,1993,0,0,0,0,0,1,0,0,5,3552007
3552,3552007,RUS,365,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,5,3552007
3552,3552007,UKG,200,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,5,3552007
3552,3552007,USA,2,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,5,3552007
3552,3552008,IRQ,645,7,1,1993,9,1,1993,0,0,0,0,0,1,0,0,5,3552008
3552,3552008,KUW,690,7,1,1993,9,1,1993,1,1,0,0,8,3,2,0,5,3552008
3552,3552009,IRQ,645,10,1,1993,10,1,1993,1,0,0,0,8,3,2,0,5,3552009
3552,3552009,USA,2,10,1,1993,10,1,1993,0,1,0,0,0,1,0,0,5,3552009
3552,3552010,IRQ,645,11,1,1993,11,1,1993,1,0,0,0,7,3,2,4,5,3552010
3552,3552010,USA,2,11,1,1993,11,1,1993,0,1,0,0,0,1,0,0,5,3552010
3552,3552011,FRN,220,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,5,3552011
3552,3552011,IRQ,645,12,1,1993,12,1,1993,0,0,0,0,0,1,0,0,5,3552011
3552,3552011,UKG,200,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,5,3552011
3552,3552011,USA,2,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,5,3552011
3552,3552012,FRN,220,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,5,3552012
3552,3552012,IRQ,645,13,1,1993,13,1,1993,0,0,1,17,17,4,4,0,5,3552012
3552,3552012,UKG,200,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,5,3552012
3552,3552012,USA,2,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,5,3552012
3552,3552013,IRQ,645,13,1,1993,13,1,1993,0,0,0,0,0,1,0,0,5,3552013
3552,3552013,USA,2,13,1,1993,13,1,1993,1,1,0,0,1,2,2,0,5,3552013
3552,3552014,FRN,220,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,5,3552014
3552,3552014,IRQ,645,14,1,1993,14,1,1993,0,0,0,0,0,1,0,0,5,3552014
3552,3552014,RUS,365,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,5,3552014
3552,3552014,UKG,200,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,5,3552014
3552,3552014,USA,2,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,5,3552014
3552,3552015,IRQ,645,15,1,1993,15,1,1993,0,0,0,0,0,1,0,0,5,3552015
3552,3552015,USA,2,15,1,1993,15,1,1993,1,1,0,0,1,2,2,0,5,3552015
3552,3552016,IRQ,645,16,1,1993,16,1,1993,1,0,0,0,1,2,2,0,5,3552016
3552,3552016,USA,2,16,1,1993,16,1,1993,0,1,0,0,0,1,0,0,5,3552016
3552,3552017,IRQ,645,17,1,1993,21,1,1993,0,0,-9,-9,17,4,2,0,5,3552017
3552,3552017,USA,2,17,1,1993,21,1,1993,1,1,0,0,17,4,2,0,5,3552017
3552,3552018,IRQ,645,17,1,1993,17,1,1993,1,0,-9,-9,17,4,4,0,5,3552018
3552,3552018,USA,2,17,1,1993,17,1,1993,0,1,0,0,17,4,4,0,5,3552018
3552,3552019,FRN,220,17,1,1993,19,1,1993,1,1,0,0,16,4,2,0,5,3552019
3552,3552019,IRQ,645,17,1,1993,19,1,1993,0,0,1,-9,0,1,0,0,5,3552019
3552,3552019,UKG,200,17,1,1993,19,1,1993,1,1,0,0,16,4,2,0,5,3552019
3552,3552019,USA,2,17,1,1993,19,1,1993,1,1,0,0,16,4,2,0,5,3552019
3552,3552020,IRQ,645,17,1,1993,17,1,1993,1,0,1,1,17,4,2,0,5,3552020
3552,3552020,KUW,690,17,1,1993,17,1,1993,0,1,0,0,17,4,2,0,5,3552020
3552,3552021,FRN,220,18,1,1993,18,1,1993,1,1,0,0,16,4,4,0,5,3552021
3552,3552021,IRQ,645,18,1,1993,18,1,1993,0,0,-9,-9,0,1,0,0,5,3552021
3552,3552021,UKG,200,18,1,1993,18,1,1993,1,1,0,0,16,4,4,0,5,3552021
3552,3552021,USA,2,18,1,1993,18,1,1993,1,1,0,0,16,4,4,0,5,3552021
3552,3552022,FRN,220,21,1,1993,21,1,1993,1,1,0,0,16,4,2,0,5,3552022
3552,3552022,IRQ,645,21,1,1993,21,1,1993,0,0,0,0,0,1,0,0,5,3552022
3552,3552022,USA,2,21,1,1993,21,1,1993,1,1,0,0,16,4,2,0,5,3552022
